Category,SubCategory,Property,Amount,Year,Month
Automobile,Car Payment,Primary,249.96,2012,January
Bank Charges,Service Charge,Primary,9,2012,January
Bills,Cell Phone,Primary,39.55,2012,January
Bills,Electricity,Primary,70,2012,January
Bills,Homeowner's Dues,Primary,24.02,2012,January
Bills,Mortgage Payment,Primary,1325.54,2012,January
Bills,Online/Internet Service,Primary,41.75,2012,January
Bills,Telephone,Primary,33.89,2012,January
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-200,2012,January
Groceries,Groceries,Primary,55.16,2012,January
Home Improvement,Home Improvement,Primary,33.83,2012,January
Household,Household - Unassigned,Primary,65.85,2012,January
Insurance,Automobile,Primary,322.29,2012,January
Insurance,Homeowner's/Renter's,Primary,33.29,2012,January
Job Expense,Non-Reimbursed,Primary,50,2012,January
Payment,Payment,Primary,727.45,2012,January
Personal Care,Personal Care,Primary,30.25,2012,January
Pet Care,Food,Primary,53.38,2012,January
Safety Deposit Box,Safety Deposit Box,Primary,73.45,2012,January
Travel/Vacation,Miscellaneous,Primary,2009.75,2012,January
Automobile,Car Payment,Primary,249.96,2012,February
Automobile,Gasoline,Primary,85.29,2012,February
Bank Charges,Service Charge,Primary,10.45,2012,February
Bills,Cell Phone,Primary,88.2,2012,February
Bills,Homeowner's Dues,Primary,42.58,2012,February
Bills,Mortgage Payment,Primary,1325.54,2012,February
Bills,Natural Gas/Oil,Primary,44,2012,February
Bills,Online/Internet Service,Primary,45.47,2012,February
Bills,Telephone,Primary,33.89,2012,February
Childcare,Childcare,Primary,165.1,2012,February
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2012,February
Dining Out,Dining Out,Primary,59.89,2012,February
Groceries,Groceries,Primary,334.13,2012,February
Healthcare,Prescriptions,Primary,39.51,2012,February
Home Improvement,Home Improvement,Primary,224.84,2012,February
Household,Household - Unassigned,Primary,289.04,2012,February
Insurance,Automobile,Primary,322.29,2012,February
Job Expense,Non-Reimbursed,Primary,200,2012,February
Pet Care,Food,Primary,32.84,2012,February
Taxes,Real Estate Taxes,Primary,590,2012,February
Travel/Vacation,Miscellaneous,Primary,1680,2012,February
Automobile,Car Payment,Primary,249.96,2012,March
Automobile,Gasoline,Primary,89.01,2012,March
Bank Charges,Service Charge,Primary,18.15,2012,March
Bills,Cell Phone,Primary,80.75,2012,March
Bills,Electricity,Primary,16.43,2012,March
Bills,Homeowner's Dues,Primary,42.58,2012,March
Bills,Mortgage Payment,Primary,1325.54,2012,March
Bills,Natural Gas/Oil,Primary,48,2012,March
Bills,Online/Internet Service,Primary,45.14,2012,March
Bills,Telephone,Primary,33.89,2012,March
Bills,Water & Sewer,Primary,11.49,2012,March
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-753.04,2012,March
Dining Out,Dining Out,Primary,97.25,2012,March
Groceries,Groceries,Primary,552.98,2012,March
Home Improvement,Home Improvement,Primary,144.67,2012,March
Household,Furnishings,Primary,904.72,2012,March
Household,Household - Unassigned,Primary,370.75,2012,March
Insurance,Automobile,Primary,356.5,2012,March
Insurance,Homeowner's/Renter's,Primary,66.58,2012,March
Job Expense,Non-Reimbursed,Primary,400,2012,March
Payment,Payment,Primary,753.04,2012,March
Pet Care,Food,Primary,28.28,2012,March
Taxes,Real Estate Taxes,Primary,589,2012,March
Travel/Vacation,Miscellaneous,Primary,1589.75,2012,March
Automobile,Car Payment,Primary,249.96,2012,April
Automobile,Gasoline,Primary,88.86,2012,April
Automobile,Maintenance,Primary,286.03,2012,April
Bank Charges,Service Charge,Primary,26,2012,April
Bills,Cell Phone,Primary,82.75,2012,April
Bills,Electricity,Primary,61.49,2012,April
Bills,Homeowner's Dues,Primary,42.58,2012,April
Bills,Mortgage Payment,Primary,1325.54,2012,April
Bills,Natural Gas/Oil,Primary,48,2012,April
Bills,Online/Internet Service,Primary,45.14,2012,April
Bills,Telephone,Primary,33.89,2012,April
Childcare,Childcare,Primary,107.6,2012,April
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2012,April
Dining Out,Dining Out,Primary,38.26,2012,April
Groceries,Groceries,Primary,597.28,2012,April
Healthcare,Dental,Primary,65,2012,April
Healthcare,Prescriptions,Primary,121.98,2012,April
Home Improvement,Home Improvement,Primary,59.87,2012,April
Household,Household - Unassigned,Primary,10.19,2012,April
Insurance,Automobile,Primary,356.5,2012,April
Insurance,Homeowner's/Renter's,Primary,33.29,2012,April
Job Expense,Non-Reimbursed,Primary,200,2012,April
Pet Care,Food,Primary,6.6,2012,April
Taxes,Real Estate Taxes,Primary,589,2012,April
Travel/Vacation,Miscellaneous,Primary,1524.59,2012,April
Automobile,Car Payment,Primary,249.96,2012,May
Automobile,Gasoline,Primary,99.74,2012,May
Bank Charges,Service Charge,Primary,22,2012,May
Bills,Cell Phone,Primary,82.75,2012,May
Bills,Electricity,Primary,61.71,2012,May
Bills,Homeowner's Dues,Primary,42.58,2012,May
Bills,Mortgage Payment,Primary,1988.31,2012,May
Bills,Natural Gas/Oil,Primary,48,2012,May
Bills,Online/Internet Service,Primary,45.14,2012,May
Bills,Telephone,Primary,33.89,2012,May
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2012,May
Dining Out,Dining Out,Primary,54.62,2012,May
Groceries,Groceries,Primary,869.8,2012,May
Healthcare,Dental,Primary,-12.75,2012,May
Healthcare,Eyecare,Primary,220,2012,May
Healthcare,Physician,Primary,-210,2012,May
Healthcare,Prescriptions,Primary,72.84,2012,May
Home Improvement,Home Improvement,Primary,283.28,2012,May
Household,Furnishings,Primary,180.79,2012,May
Household,Household - Unassigned,Primary,395.77,2012,May
Insurance,Automobile,Primary,356.5,2012,May
Insurance,Homeowner's/Renter's,Primary,33.29,2012,May
Job Expense,Non-Reimbursed,Primary,400,2012,May
Pet Care,Food,Primary,7.66,2012,May
Travel/Vacation,Miscellaneous,Primary,384.58,2012,May
Travel/Vacation,Miscellaneous,Primary,21.04,2012,May
Automobile,Car Payment,Primary,249.96,2012,June
Automobile,Gasoline,Primary,179.35,2012,June
Bank Charges,Service Charge,Primary,27,2012,June
Bills,Cell Phone,Primary,82.75,2012,June
Bills,Electricity,Primary,48.16,2012,June
Bills,Homeowner's Dues,Primary,42.58,2012,June
Bills,Mortgage Payment,Primary,1325.54,2012,June
Bills,Natural Gas/Oil,Primary,48,2012,June
Bills,Online/Internet Service,Primary,45.14,2012,June
Bills,Telephone,Primary,33.89,2012,June
Bills,Water & Sewer,Primary,61.57,2012,June
Childcare,Childcare,Primary,88.9,2012,June
Clothing,Clothing,Primary,37.18,2012,June
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2012,June
Groceries,Groceries,Primary,703.64,2012,June
Healthcare,Dental,Primary,58,2012,June
Healthcare,Prescriptions,Primary,96.5,2012,June
Home Improvement,Home Improvement,Primary,370.97,2012,June
Household,Household - Unassigned,Primary,112.98,2012,June
Insurance,Automobile,Primary,356.5,2012,June
Job Expense,Non-Reimbursed,Primary,200,2012,June
Personal Care,Personal Care,Primary,500,2012,June
Pet Care,Food,Primary,5.37,2012,June
Taxes,Real Estate Taxes,Primary,615.03,2012,June
Travel/Vacation,Miscellaneous,Primary,424.76,2012,June
Travel/Vacation,Miscellaneous,Primary,75,2012,June
Travel/Vacation,Travel/Vacation - Unassigned,Primary,32.4,2012,June
Automobile,Car Payment,Primary,249.96,2012,July
Automobile,Gasoline,Primary,220.59,2012,July
Automobile,Maintenance,Primary,376.17,2012,July
Bank Charges,Service Charge,Primary,30,2012,July
Bills,Cell Phone,Primary,82.75,2012,July
Bills,Electricity,Primary,76.9,2012,July
Bills,Homeowner's Dues,Primary,42.58,2012,July
Bills,Mortgage Payment,Primary,1325.54,2012,July
Bills,Natural Gas/Oil,Primary,98.97,2012,July
Bills,Online/Internet Service,Primary,45.14,2012,July
Bills,Telephone,Primary,33.89,2012,July
Children/Toys,Children/Toys - Unassigned,Primary,182.2,2012,July
Clothing,Clothing,Primary,342.32,2012,July
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2012,July
Dining Out,Dining Out,Primary,40,2012,July
Entertainment,Entertainment,Primary,26.95,2012,July
Gifts,Gifts,Primary,72.81,2012,July
Groceries,Groceries,Primary,519.22,2012,July
Healthcare,Dental,Primary,607.45,2012,July
Healthcare,Prescriptions,Primary,135.35,2012,July
Hobbies/Leisure,Sporting Goods,Primary,16.94,2012,July
Home Improvement,Home Improvement,Primary,77.89,2012,July
Insurance,Automobile,Primary,356.5,2012,July
Insurance,Homeowner's/Renter's,Primary,66.58,2012,July
Job Expense,Non-Reimbursed,Primary,400,2012,July
Pet Care,Food,Primary,20.76,2012,July
Travel/Vacation,Miscellaneous,Primary,360.18,2012,July
Travel/Vacation,Travel/Vacation - Unassigned,Primary,172.12,2012,July
Automobile,Car Payment,Primary,249.96,2012,August
Automobile,Gasoline,Primary,236.26,2012,August
Bank Charges,Service Charge,Primary,26,2012,August
Bills,Cell Phone,Primary,112.75,2012,August
Bills,Electricity,Primary,136.17,2012,August
Bills,Homeowner's Dues,Primary,42.58,2012,August
Bills,Mortgage Payment,Primary,1325.54,2012,August
Bills,Online/Internet Service,Primary,45.14,2012,August
Bills,Telephone,Primary,33.89,2012,August
Childcare,Childcare,Primary,294,2012,August
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2012,August
Entertainment,Entertainment,Primary,22.59,2012,August
Groceries,Groceries,Primary,674.29,2012,August
Healthcare,Prescriptions,Primary,10.72,2012,August
Home Improvement,Home Improvement,Primary,45.19,2012,August
Insurance,Automobile,Primary,356.5,2012,August
Insurance,Homeowner's/Renter's,Primary,33.29,2012,August
Job Expense,Non-Reimbursed,Primary,200,2012,August
Taxes,Real Estate Taxes,Primary,615,2012,August
Travel/Vacation,Miscellaneous,Primary,280,2012,August
